Soort;Naam;Beschrijving;Locatie;Latitude;Longitude
Tramhalte;Tramhalte Van Woustraat / Ceintuurbaan;Lijn 3 | 4;Van Woustraat / Ceintuurbaan;52.354823;4.901243
Tramhalte;Tramhalte Tweede Van der Helststraat;Lijn 3;Tweede Van der Helststraat;52.353255;4.894581
Tramhalte;Tramhalte Keizersgracht;Lijn 4;Keizersgracht;52.363839;4.898296
Tramhalte;Tramhalte Prinsengracht;Lijn 4;Prinsengracht;52.362122;4.898983
Tramhalte;Tramhalte Frederiksplein / Stadhouderskade;Lijn 1 | 4 | 7 | 19;Frederiksplein / Stadhouderskade;52.359524;4.898756
Tramhalte;Tramhalte A.J. Ernststraat;Lijn 5 | 25;A.J. Ernststraat;52.33143;4.868837
Tramhalte;Tramhalte Parnassusweg;Lijn 5 | 25;Parnassusweg;52.338103;4.868696
Tramhalte;Tramhalte Uilenstede;Lijn 5 | 25;Uilenstede;52.321631;4.869149
Tramhalte;Tramhalte Olympisch Stadion;Lijn 24;Olympisch Stadion;52.343958;4.856892
Tramhalte;Tramhalte Zonnestein;Lijn 5 | 25;Zonnestein;52.312372;4.872228
Tramhalte;Tramhalte Onderuit;Lijn 5 | 25;Onderuit;52.308284;4.872508
Tramhalte;Tramhalte De Boelelaan/VU;Lijn 24;De Boelelaan/VU;52.3349118;4.8683844
Tramhalte;Tramhalte Van Boshuizenstraat;Lijn 5 | 25;Van Boshuizenstraat;52.325405;4.868966
Tramhalte;Tramhalte Olympiaweg;Lijn 24;Olympiaweg;52.345272;4.858524
Tramhalte;Tramhalte Olympiaplein;Lijn 24;Olympiaplein;52.34634;4.866257
Tramhalte;Tramhalte Gerrit van der Veenstraat;Lijn 5 | 24;Gerrit van der Veenstraat;52.349099;4.877276
Tramhalte;Tramhalte Witte de Withstraat;Lijn 7 | 17;Witte de Withstraat;52.364725;4.859676
Tramhalte;Tramhalte Willem Schoutenstraat;Lijn 7;Willem Schoutenstraat;52.367174;4.852482
Tramhalte;Tramhalte Admiraal De Ruijterweg;Lijn 13 | 19;Admiraal De Ruijterweg;52.371499;4.859967
Tramhalte;Tramhalte J.P. Heijestraat;Lijn 7 | 17;J.P. Heijestraat;52.364811;4.862701
Tramhalte;Tramhalte Station Zuid;Lijn 5 | 25 | 50 | 51 | 52;Station Zuid;52.340165;4.873144
Tramhalte;Tramhalte Station Lelylaan;Lijn 1 | 17 | 50 | 51;Station Lelylaan;52.357894;4.834373
Tramhalte;Tramhalte Station Sloterdijjk;Lijn 19 | 50 | 51;Station Sloterdijjk;52.388603;4.838885
Tramhalte;Tramhalte Jan van Galenstraat;Lijn 13 | 50 | 51;Jan van Galenstraat;52.373127;4.835498
Tramhalte;Tramhalte Burg. De Vlugtlaan;Lijn 7 | 50 | 51;Burg. De Vlugtlaan;52.378837;4.83788
Tramhalte;Tramhalte Heemstedestraat;Lijn 2 | 50 | 51;Heemstedestraat;52.351505;4.834334
Tramhalte;Tramhalte Amstelveenseweg;Lijn 24 | 50 | 51;Amstelveenseweg;52.338394;4.857271
Tramhalte;Tramhalte Station RAI;Lijn 4 | 50 | 51;Station RAI;52.337006;4.890724
Tramhalte;Tramhalte Centraal Station;Lijn 2 | 4 | 12 | 13 | 14 | 17 | 24 | 26 | 51 | 52 | 53 | 54;Centraal Station;52.378027;4.899773
Tramhalte;Tramhalte Waterlooplein;Lijn 14 | 51 | 53 | 54;Waterlooplein;52.367349;4.902401
Tramhalte;Tramhalte Weesperplein;Lijn 1 | 7 | 19 | 51 | 53 | 54;Weesperplein;52.361173;4.907978
Tramhalte;Tramhalte Amstelstation;Lijn 12 | 51 | 53 | 54;Amstelstation;52.346663;4.918297
Tramhalte;Tramhalte Bob Haarmslaan;Lijn 26;Bob Haarmslaan;52.368939;4.968961
Tramhalte;Tramhalte Westermarkt;Lijn 13 | 17;Westermarkt;52.374035;4.884106
Tramhalte;Tramhalte Rijksmuseum;Lijn 2 | 5 | 12;Rijksmuseum;52.3598176;4.8835384
Tramhalte;Tramhalte Hugo de Grootplein;Lijn 3;Hugo de Grootplein;52.3746846;4.8727694
Tramhalte;Tramhalte Drenthepark;Lijn 4;Drenthepark;52.3361529;4.8893095
Tramhalte;Tramhalte Bloemgracht;Lijn 5;Bloemgracht;52.3743398;4.8764506
Tramhalte;Tramhalte Jan van Galenstraat;Lijn 7;Jan van Galenstraat;52.3719979;4.8492708
Tramhalte;Tramhalte De Rijpstraat;Lijn 19;De Rijpstraat;52.3771294;4.8578315
Tramhalte;Tramhalte VUmc;Lijn 24;VUmc;52.3351784;4.8598291
Tramhalte;Tramhalte Muntplein;Lijn 24;Muntplein;52.366371;4.8931841
Tramhalte;Tramhalte Kronenburg;Lijn 5 | 25;Kronenburg;52.3164517;4.8703396
Tramhalte;Tramhalte Oranjebaan;Lijn 5 | 25;Oranjebaan;52.3029039;4.8717813
Tramhalte;Tramhalte Eerste Marnixdwarsstraat;Lijn 5;Eerste Marnixdwarsstraat;52.3830358;4.8820335
Tramhalte;Tramhalte Plantage Lepellaan;Lijn 14;Plantage Lepellaan;52.3651306;4.9154802
Tramhalte;Tramhalte Ouderkerkslaan;Lijn 25;Ouderkerkslaan;52.2965852;4.8677556
Tramhalte;Tramhalte Sportlaan;Lijn 25;Sportlaan;52.2901479;4.8636541
Tramhalte;Tramhalte Meent;Lijn 25;Meent;52.2810117;4.8571498
Tramhalte;Tramhalte Brink;Lijn 25;Brink;52.2805421;4.8518489
Tramhalte;Tramhalte Poortwachter;Lijn 25;Poortwachter;52.2832311;4.8454439
Tramhalte;Tramhalte Sacharovlaan;Lijn 25;Sacharovlaan;52.2822746;4.8324823
Tramhalte;Tramhalte Westwijk;Lijn 25;Westwijk;52.2745937;4.8307936
Metrostation;metrostation Station Zuid;Lijn 5 | 25 | 50 | 51 | 52;Station Zuid;52.340165;4.873144
Metrostation;metrostation Station Lelylaan;Lijn 1 | 17 | 50 | 51;Station Lelylaan;52.357894;4.834373
Metrostation;metrostation Isolatorweg;Lijn 50 | 51;Isolatorweg;52.395182;4.85083
Metrostation;metrostation Gein;Lijn 50 | 54;Gein;52.296347;4.989227
Metrostation;metrostation Overamstel;Lijn 50 | 51;Overamstel;52.331754;4.917802
Metrostation;metrostation Reigersbos;Lijn 50 | 54;Reigersbos;52.295619;4.974164
Metrostation;metrostation Station Sloterdijk;Lijn 19 | 50 | 51;Station Sloterdijk;52.388603;4.838885
Metrostation;metrostation Jan van Galenstraat;Lijn 13 | 50 | 51;Jan van Galenstraat;52.373127;4.835498
Metrostation;metrostation Burg. De Vlugtlaan;Lijn 7 | 50 | 51;Burg. De Vlugtlaan;52.378837;4.83788
Metrostation;metrostation Henk Sneevlietweg;Lijn 50 | 51;Henk Sneevlietweg;52.346543;4.834481
Metrostation;metrostation Heemstedestraat;Lijn 2 | 50 | 51;Heemstedestraat;52.351505;4.834334
Metrostation;metrostation Postjesweg;Lijn 50 | 51;Postjesweg;52.364866;4.833949
Metrostation;metrostation Amstelveenseweg;Lijn 24 | 50 | 51;Amstelveenseweg;52.338394;4.857271
Metrostation;metrostation Station RAI;Lijn 4 | 50 | 51;Station RAI;52.337006;4.890724
Metrostation;metrostation Strandvliet;Lijn 50 | 54;Strandvliet;52.318424;4.941468
Metrostation;metrostation Station Bijlmer ArenA;Lijn 50 | 54;Station Bijlmer ArenA;52.312132;4.947191
Metrostation;metrostation Bullewijk;Lijn 50 | 54;Bullewijk;52.3068;4.952102
Metrostation;metrostation Station Holendrecht;Lijn 50 | 54;Station Holendrecht;52.298182;4.95998
Metrostation;metrostation Station Duivendrecht;Lijn 50 | 54;Station Duivendrecht;52.323607;4.936487
Metrostation;metrostation Spaklerweg;Lijn 51 | 53 | 54;Spaklerweg;52.340042;4.920966
Metrostation;metrostation Centraal Station;Lijn 2 | 4 | 12 | 13 | 14 | 17 | 24 | 26 | 51 | 52 | 53 | 54;Centraal Station;52.378027;4.899773
Metrostation;metrostation Waterlooplein;Lijn 14 | 51 | 53 | 54;Waterlooplein;52.367349;4.902401
Metrostation;metrostation Weesperplein;Lijn 1 | 7 | 19 | 51 | 53 | 54;Weesperplein;52.361173;4.907978
Metrostation;metrostation Wibautstraat;Lijn 51 | 53 | 54;Wibautstraat;52.354333;4.912123
Metrostation;metrostation Nieuwmarkt;Lijn 51 | 53 | 54;Nieuwmarkt;52.37192;4.901301
Metrostation;metrostation Amstelstation;Lijn 12 | 51 | 53 | 54;Amstelstation;52.346663;4.918297
Metrostation;metrostation Van der Madeweg;Lijn 50 | 53 | 54;Van der Madeweg;52.329678;4.9303
Metrostation;metrostation Verrijn Stuartweg;Lijn 53;Verrijn Stuartweg;52.328624;4.966759
Metrostation;metrostation Station Ganzenhoef;Lijn 53;Station Ganzenhoef;52.323631;4.973044
Metrostation;metrostation Kraaiennest station;Lijn 53;Kraaiennest station;52.316618;4.979454
Metrostation;metrostation Gaasperplas;Lijn 53;Gaasperplas;52.311035;4.984549
Metrostation;metrostation Venserpolder;Lijn 53;Venserpolder;52.326737;4.946229
Metrostation;metrostation Station Diemen-Zuid;Lijn 53;Station Diemen-Zuid;52.33027;4.956447
Metrostation;metrostation Europaplein;Lijn 4 | 52;Europaplein;52.340218;4.891987
Metrostation;metrostation Noorderpark;Lijn 52;Noorderpark;52.388902;4.918652
Metrostation;metrostation Noord;Lijn 52;Noord;52.401877;4.932229
Metrostation;metrostation Rokin;Lijn 4 | 14 | 24 | 52;Rokin;52.3698;4.892378
Metrostation;metrostation Vijzelgracht;Lijn 1 | 7 | 19 | 24 | 52;Vijzelgracht;52.359632;4.890943
Metrostation;metrostation De Pijp;Lijn 3 | 12 | 24 | 52;De Pijp;52.35279;4.891107
